State,PGP Link,Overall blurb,Redistricting blurb,State color
ME,http://gerrymander.princeton.edu/reforms2019/me/,"Maine’s Senate election is crucial in determining which party controls the upper branch; Republican Sen. Susan Collins (i) faces stiff Democratic opposition, although Republicans are strongly challenging incumbent Rep. Jared Golden (D) for his district 2 seat. On the state level, Democrats are poised to remain in control of the legislature.",Maine's state legislative and congressional districts are drawn by the state legislature with recommendations from an advisory commission.,yes
MI,http://gerrymander.princeton.edu/reforms2019/mi/,,"Beginning in the 2020 redistricting cycle, Michigan's state legislative and congressional districts will be drawn by an independent citizen redistricting commission.",yes
MN,http://gerrymander.princeton.edu/reforms2019/mn/,"This election cycle could have a profound impact on Minnesota’s political future. The Democrat-held state Senate is competitive, and the state House, controlled by Republicans, may flip, giving Democrats a trifecta. Also, the state will vote on a Supreme Court justice. Nationally, Minnesota’s 2nd and 7th congressional districts could see the incumbent Democrat lose to a Republican challenger.","Minnesota's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",yes
MO,http://gerrymander.princeton.edu/reforms2019/mo/,,"Beginning in 2021, Missouri's state legislative districts will be drawn by a nonpartisan state demographer and must be approved by two bipartisan redistricting commissions. If not approved, the state's congressional districts will be drawn by the Legislature by ordinary statute, and will be subject to the Governor's veto.",yes
MS,http://gerrymander.princeton.edu/reforms2019/ms/,"Republicans will cruise to victory in the Senate, and State legislative races, but the fight to legalize medical marijuana will likely be more competitive. ","Mississippi's state legislative and congressional lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. If the Legislature fails to adopt a state legislative map, the task falls to a partisan backup commission currently controlled by Republicans.",no
MT,http://gerrymander.princeton.edu/reforms2019/mt/,"Montana's Senate race could determine the fate of the chamber come 2021. Incumbent Steve Daines (R) is facing incumbent Democratic Governor (and former Presidential candidate) Steve Bullock. There are also competitive elections for the Governorship and Congress. On top of this, voters will vote on two State Supreme Court justices and a referenda on municipal powers to regulate guns. ",Montana's state legislative and congressional districts are drawn by an independent redistricting commission. therefore the 2020 election will not affect the 2021 redistricting process.,yes
NC,http://gerrymander.princeton.edu/reforms2019/nc/,"North Carolina elections in 2020 are of exceptional importance at both federal and state levels. The Senate race between Cal Cunningham (D) and Thom Tillis (R) will be pivotal in determining control of the U.S. Senate. In addition, both chambers of the General Assembly are in play, and these chambers control redistricting in 2021. Bipartisan control can prevent the extreme gerrymanders that have marked the last decade (note that in North Carolina, the governor has no constitutional role in redistricting). There are other major statewide races as well, including the governorship and several state Supreme Court races. It is no exaggeration to say that the state's next decade hangs in the balance of this November's election.",North Carolina's state legislative and congressional districts are drawn by the state Legislature by ordinary statute. ,yes
ND,http://gerrymander.princeton.edu/reforms2019/nd/,,"North Dakota's state legislative lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",no
NE,http://gerrymander.princeton.edu/reforms2019/ne/,,"Nebraska's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths vote in each chamber.",yes
NH,http://gerrymander.princeton.edu/reforms2019/nh/,,"New Hampshire's state legislative and congressional districts are drawn by the legislature by ordinary statute, and are subject to the governor's veto. The legislature can override vetoes with a two-thirds vote in each chamber.",yes
NJ,http://gerrymander.princeton.edu/reforms2019/nj/,,New Jersey's state legislative and congressional districts are drawn by two different partisan commissions comprised of politicians. ,yes
NM,http://gerrymander.princeton.edu/reforms2019/nm/,"New Mexico, which has recently been dominated by Democrats, looks to remain that way, although incumbent Rep. Torres Small (D) faces tough Republican opposition.","New Mexico's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",yes
NV,http://gerrymander.princeton.edu/reforms2019/nv/,,"Nevada's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",yes
NY,http://gerrymander.princeton.edu/reforms2019/ny/,,"Beginning in 2021, New York's state legislative and congressional districts will be drawn by a ten-member commission.",yes
OH,http://gerrymander.princeton.edu/reforms2019/oh/,"Republicans will win most of Ohio’s elections, although Democrats are strongly challenging incumbent Rep. Chabot’s (R) House District 1 seat.",State legislative and congressional districts will be drawn by hybrid legislative/commission system. Therefore the 2020 election will likely not affect 2021 redistricting.,yes
OK,http://gerrymander.princeton.edu/reforms2019/ok/,Democrats are expected to win most of Oregon's elections. Voters will also decide on campaign finance reform and increasing the nicotine tax.,"Oklahoma's state legislative and congressional district lines are drawn by the state legislature by ordinary statute, and are subject to the governor's veto. The legislature can override vetoes with a two-thirds vote in each chamber.",yes
OR,http://gerrymander.princeton.edu/reforms2019/or/,,"Oregon's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",no
PA,http://gerrymander.princeton.edu/reforms2019/pa/,,"Pennsylvania's congressional lines are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. Pennsylvania's state legislative lines are drawn by a commission of politicians. There is a Democratic Governor, but a Republican Legislature, therefore 2021 redistricting is unlikely to be affected by the 2020 elections. ",yes
RI,http://gerrymander.princeton.edu/reforms2019/ri/,,"Rhode Island's state legislative and congressional lines are drawn by the state Legislature by ordinary statute, with recommendations from an advisory commission, and are subject to the Governor's veto. The state legislature and governorships are solidly Democratic, and therefore control of redistricting will not be affected by the 2020 election.",no
SC,http://gerrymander.princeton.edu/reforms2019/sc/,,"South Carolina's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The state legislature and governorships are solidly Republican, and therefore control of redistricting will not be affected by the 2020 election.",yes
SD,http://gerrymander.princeton.edu/reforms2019/sd/,,"South Dakota's state legislative lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The state legislature and governorships are solidly Republican, and therefore control of redistricting will not be affected by the 2020 election.",no
TN,http://gerrymander.princeton.edu/reforms2019/tn/,,"Tennessee's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The state legislature and governorships are solidly Republican, and therefore control of redistricting will not be affected by the 2020 election.",no
TX,http://gerrymander.princeton.edu/reforms2019/tx/,"Texas’s elections are mostly predictable on the national level, with a few exceptions, but their state House election is very competitive. However, a few congressional elections could be important in determining which party controls the House of Representatives next year, although Republicans will retain the majority of the state's seats.","Texas's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. ",yes
UT,http://gerrymander.princeton.edu/reforms2019/ut/,,Utah's state legislative and congressional districts will be drawn by a seven-member independent advisory redistricting commission. Therefore the 2020 election will not affect the 2021 redistricting process.,yes
VA,http://gerrymander.princeton.edu/reforms2019/va/,"Several Virginia House races are very competitive, although incumbent Sen. Mark Warner (D) will likely win his election. Virginians will also vote on a referendum to create a redistricting committee. ","Virginia's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. A Constitutional Amendment is on the ballot this November to transfer this power to an independent commission. ",yes
VT,http://gerrymander.princeton.edu/reforms2019/vt/,,"Vermont's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",no
WA,http://gerrymander.princeton.edu/reforms2019/wa/,"Democrats are bound to win the state legislature, state Supreme Court, and governorship.",Washington's state legislative and congressional districts are drawn by an Independent Redistricting Commission. Therefore the 2020 election will not affect the 2021 redistricting process.,no
WI,http://gerrymander.princeton.edu/reforms2019/wi/,,"Wisconsin's state legislative and congressional lines are drawn by the Legislature via statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. The Governor recently signed an executive order to create a citizen redistricting commission.",no
WV,http://gerrymander.princeton.edu/reforms2019/wv/,Republicans will likely sweep all elections in West Virginia this year. ,"West Virginia's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The state legislature and governorships are solidly Republican, and therefore control of redistricting will not be affected by the 2020 election.",no
WY,http://gerrymander.princeton.edu/reforms2019/wy/,,"Wyoming's state legislative and congressional district lines are drawn by the Legislature as an ordinary statute, and are subject to the Governor's veto. The state legislature and governorships are solidly Republican, and therefore control of redistricting will not be affected by the 2020 election.",no
